workout_count=[4], workout_angle=[176.15793534224795], workout_stage=['up'], total_tracks=1, speed={'track': 34.52673500214587, 'solution': 0.8561069953429978}
workout_count=[0], workout_angle=[174.89013122686225], workout_stage=['up'], total_tracks=1, speed={'track': 399.7057149972534, 'solution': 0.88818700533011}
workout_count=[0], workout_angle=[175.02467384365357], workout_stage=['up'], total_tracks=1, speed={'track': 37.55329200066626, 'solution': 0.8713269999134354}
workout_count=[0], workout_angle=[174.97977924779886], workout_stage=['up'], total_tracks=1, speed={'track': 37.13175400116597, 'solution': 0.885487999767065}
workout_count=[0], workout_angle=[174.70031179719433], workout_stage=['up'], total_tracks=1, speed={'track': 36.4463620026072, 'solution': 0.8881169960659463}
workout_count=[0], workout_angle=[174.38664377335357], workout_stage=['up'], total_tracks=1, speed={'track': 36.78743799900985, 'solution': 0.9021880032378249}
workout_count=[0], workout_angle=[173.57300758670058], workout_stage=['up'], total_tracks=1, speed={'track': 36.59489399797167, 'solution': 0.8562670009268913}
workout_count=[0], workout_angle=[172.79629661031345], workout_stage=['up'], total_tracks=1, speed={'track': 36.992962999647716, 'solution': 0.8749070002522785}
workout_count=[0], workout_angle=[172.6630570035099], workout_stage=['up'], total_tracks=1, speed={'track': 36.57049399771495, 'solution': 0.8728560023882892}
workout_count=[0], workout_angle=[171.52673578957203], workout_stage=['up'], total_tracks=1, speed={'track': 37.05493400047999, 'solution': 0.8991260001494084}
workout_count=[0], workout_angle=[171.4709080151688], workout_stage=['up'], total_tracks=1, speed={'track': 36.922920000506565, 'solution': 0.8533170002920087}
workout_count=[0], workout_angle=[171.22893382830372], workout_stage=['up'], total_tracks=1, speed={'track': 36.17724600189831, 'solution': 0.8809169958112761}
workout_count=[0], workout_angle=[170.6393030164227], workout_stage=['up'], total_tracks=1, speed={'track': 36.52363299988792, 'solution': 0.8556360007787589}
workout_count=[0], workout_angle=[170.91953293152673], workout_stage=['up'], total_tracks=1, speed={'track': 36.49302299891133, 'solution': 0.8681970030011144}
workout_count=[0], workout_angle=[170.75472683559698], workout_stage=['up'], total_tracks=1, speed={'track': 37.1506949995819, 'solution': 0.9281279999413528}
workout_count=[0], workout_angle=[171.0691013650364], workout_stage=['up'], total_tracks=1, speed={'track': 38.33736900196527, 'solution': 0.9336769981018733}
workout_count=[0], workout_angle=[170.67815343893014], workout_stage=['up'], total_tracks=1, speed={'track': 38.95713900055853, 'solution': 0.9073679975699633}
workout_count=[0], workout_angle=[171.0732874291606], workout_stage=['up'], total_tracks=1, speed={'track': 38.885877998836804, 'solution': 0.9452390040678438}
workout_count=[0], workout_angle=[170.96805626899402], workout_stage=['up'], total_tracks=1, speed={'track': 39.439650001440896, 'solution': 0.8594559985795058}
workout_count=[0], workout_angle=[173.19974720921007], workout_stage=['up'], total_tracks=1, speed={'track': 37.612544001603965, 'solution': 0.8761969984334428}
workout_count=[0], workout_angle=[173.17803605676082], workout_stage=['up'], total_tracks=1, speed={'track': 35.16666699943016, 'solution': 0.8571770013077185}
workout_count=[0], workout_angle=[172.78500076131226], workout_stage=['up'], total_tracks=1, speed={'track': 34.36454099937691, 'solution': 0.893267999344971}
workout_count=[0], workout_angle=[171.36210098979063], workout_stage=['up'], total_tracks=1, speed={'track': 36.47372199702659, 'solution': 0.8560560017940588}
workout_count=[0], workout_angle=[170.2094534180976], workout_stage=['up'], total_tracks=1, speed={'track': 35.49008299887646, 'solution': 0.8676370016473811}
workout_count=[0], workout_angle=[166.41786674784402], workout_stage=['up'], total_tracks=1, speed={'track': 32.91180300220731, 'solution': 0.8829069993225858}
workout_count=[0], workout_angle=[160.9332744103776], workout_stage=['up'], total_tracks=1, speed={'track': 33.07628600305179, 'solution': 0.8905569957278203}
workout_count=[0], workout_angle=[157.5200827624564], workout_stage=['up'], total_tracks=1, speed={'track': 33.69872900293558, 'solution': 0.9436769978492521}
workout_count=[0], workout_angle=[148.6473434132315], workout_stage=['up'], total_tracks=1, speed={'track': 34.322602001338964, 'solution': 0.8796559959591832}
workout_count=[0], workout_angle=[137.20657457229453], workout_stage=['up'], total_tracks=1, speed={'track': 36.90076999919256, 'solution': 0.8664570013934281}
workout_count=[0], workout_angle=[132.7880466080329], workout_stage=['up'], total_tracks=1, speed={'track': 35.62281600170536, 'solution': 0.924267998925643}
workout_count=[0], workout_angle=[124.9527181389374], workout_stage=['up'], total_tracks=1, speed={'track': 36.1475360004988, 'solution': 0.8826570010569412}
workout_count=[0], workout_angle=[117.96865269437602], workout_stage=['up'], total_tracks=1, speed={'track': 38.50872100156266, 'solution': 0.8687469999131281}
workout_count=[0], workout_angle=[113.46683777288318], workout_stage=['up'], total_tracks=1, speed={'track': 36.412731002201326, 'solution': 0.8597359956183936}
workout_count=[0], workout_angle=[104.03721931656595], workout_stage=['up'], total_tracks=1, speed={'track': 36.909550999553176, 'solution': 0.8797870032140054}
workout_count=[0], workout_angle=[95.43539894010425], workout_stage=['up'], total_tracks=1, speed={'track': 37.16243599774316, 'solution': 0.8601860026828945}
workout_count=[0], workout_angle=[92.78811356624504], workout_stage=['up'], total_tracks=1, speed={'track': 36.33396000077482, 'solution': 0.931206999666756}
workout_count=[1], workout_angle=[85.3569840363466], workout_stage=['down'], total_tracks=1, speed={'track': 36.294828998507, 'solution': 0.8979470003396273}
workout_count=[1], workout_angle=[74.50759352635251], workout_stage=['down'], total_tracks=1, speed={'track': 36.5371830012009, 'solution': 0.8613769969088025}
workout_count=[1], workout_angle=[72.66398629397568], workout_stage=['down'], total_tracks=1, speed={'track': 36.511452999548055, 'solution': 0.8684160020493437}
workout_count=[1], workout_angle=[62.281490010819894], workout_stage=['down'], total_tracks=1, speed={'track': 36.86925999863888, 'solution': 0.8731160014576744}
workout_count=[1], workout_angle=[55.49424994150612], workout_stage=['down'], total_tracks=1, speed={'track': 36.82897900216631, 'solution': 0.8720669975446071}
workout_count=[1], workout_angle=[53.423282055732244], workout_stage=['down'], total_tracks=1, speed={'track': 35.64429600010044, 'solution': 0.8736970012250822}
